H2,C2H2,C2H4,C2H6,CH4,C3H8,TCG,CO,CO2,normality
10,0,8,35,59,92,316,400,2000,1
14,1,8,35,109,121,481,400,4179,1
10,0,8,35,30,20,125,400,2000,1
60,14,8,35,30,20,125,400,2000,1
800,90,164,35,760,20,2500,400,2000,1
10,0,8,35,30,20,125,400,2000,1
139,43,500,35,373,184,1644,400,2000,1
10,3,16,35,30,20,125,400,2000,1
22,4,24,35,30,20,125,400,2000,1
27,7,54,35,30,20,129,400,2000,1
10,0,10,35,87,75,326,400,2000,1
10,0,11,35,120,77,390,400,2000,1
10,0,11,35,109,87,402,400,2000,1
10,0,11,35,142,95,467,400,2000,1
10,0,12,35,137,98,481,400,2000,1
10,0,8,35,93,59,298,400,2000,1
34,0,21,35,30,163,402,400,4714,1
29,0,13,35,30,149,336,400,4714,1
30,0,12,35,30,149,336,400,4714,1
55,0,12,35,30,153,368,423,4785,1
89,2,500,35,411,20,1113,400,2000,1
102,2,500,35,350,20,1018,400,2000,1
72,1,480,35,270,20,825,400,2000,1
139,4,500,35,483,20,1333,400,2000,1
122,4,500,35,483,20,1333,400,2000,1
10,0,58,35,79,140,427,400,2506,1
10,0,56,35,113,144,496,400,2030,1
10,0,56,35,128,149,543,400,2092,1
10,0,13,35,196,168,732,400,2000,1
10,0,10,35,177,213,754,411,2061,1
10,0,44,35,196,279,1113,400,2030,1
10,0,42,35,209,288,1147,400,2396,1
10,0,47,35,270,315,1333,400,2432,1
10,0,47,35,253,324,1293,400,2156,1
10,0,47,35,245,315,1293,400,2156,1
10,0,25,35,189,233,959,400,2000,1
10,0,34,35,196,279,1182,400,2000,1
10,0,25,35,196,255,1049,400,2061,1
10,0,25,35,209,279,1113,400,2156,1
10,0,33,35,223,248,1049,400,2000,1
10,0,171,35,177,114,630,400,2061,1
10,0,185,35,161,124,649,400,2000,1
256,0,500,35,606,296,2218,400,2000,1
34,1,178,35,96,121,511,400,2000,1
589,4,500,35,760,400,2500,400,2000,1
17,0,39,35,166,344,1049,466,2325,1
12,0,34,35,146,344,1018,435,2000,1
18,0,22,35,146,315,930,459,2000,1
26,0,39,35,137,315,930,453,2000,1
29,0,35,35,142,324,988,453,2000,1
473,0,9,35,79,64,777,400,2000,1
615,0,9,35,87,64,930,400,2000,1
494,0,10,35,87,70,825,400,2000,1
800,0,10,35,87,68,1147,400,2000,1
800,0,8,35,109,68,1373,400,2000,1
10,0,13,35,93,52,289,400,2000,1
10,0,15,35,128,87,427,400,2000,1
10,0,15,35,151,107,511,400,2000,1
10,0,16,35,161,114,543,400,2000,1
10,0,21,35,189,114,594,400,2000,1
13,0,12,35,30,20,125,423,2000,1
10,0,10,35,30,20,125,417,2000,1
24,0,13,35,36,20,125,447,2000,1
102,38,29,35,61,20,264,466,2000,1
173,70,56,35,82,20,427,423,2000,1
25,0,8,35,30,20,125,400,2000,1
63,0,8,35,30,20,125,400,2000,1
188,0,8,35,30,20,208,400,2000,1
473,0,8,35,55,20,527,400,2000,1
643,0,8,35,70,20,710,400,2000,1
10,0,8,35,30,42,125,400,2000,1
10,0,27,35,41,62,208,400,2000,1
18,0,139,35,120,124,559,400,2000,1
60,1,292,35,209,168,903,400,3542,1
89,4,424,35,298,201,1182,400,3386,1
10,0,10,35,41,20,125,535,4243,1
10,0,9,35,44,20,125,472,4372,1
10,0,8,35,30,20,125,543,4931,1
615,3,500,35,760,400,2500,521,4243,1
800,4,500,35,760,400,2500,521,3002,1
51,11,17,35,65,24,234,400,2869,1
44,2,17,35,70,29,234,400,2000,1
10,0,8,35,30,20,125,400,2000,1
10,1,8,35,30,20,125,400,2000,1
348,90,500,35,760,248,2500,400,2000,1
10,0,8,35,120,20,154,400,3542,1
10,0,113,35,33,20,511,558,3650,1
10,0,96,35,30,20,467,521,2957,1
22,0,145,35,196,279,1049,400,2000,1
14,0,133,35,209,263,1018,400,3236,1
10,0,47,35,120,296,903,435,2869,1
10,0,47,35,137,279,876,453,3935,1
10,0,45,35,113,279,850,400,3596,1
16,0,63,35,128,344,1081,472,3877,1
10,0,51,35,128,334,1018,435,4307,1
26,0,171,35,49,42,307,400,2000,1
27,0,164,35,46,44,298,400,2000,1
26,0,164,35,49,45,307,400,2000,1
10,0,145,35,50,46,257,400,2000,1
10,0,118,35,39,29,202,400,2000,1
10,0,8,35,30,20,125,400,2000,1
10,0,8,35,177,20,390,400,2396,1
10,0,20,35,30,233,453,945,2000,1
10,0,22,35,70,400,754,400,7402,1
10,0,16,35,79,255,559,400,2000,1
10,0,9,35,47,27,141,400,2000,1
27,0,16,35,30,279,612,406,3094,1
17,0,17,35,30,305,669,400,3236,1
37,0,20,35,30,296,669,417,4117,1
31,0,24,35,30,296,630,417,3596,1
33,0,108,35,109,400,1694,400,2000,1
36,0,118,35,113,400,1694,417,2000,1
42,0,113,35,113,400,1694,400,2000,1
46,0,118,35,102,400,1745,400,2000,1
44,0,118,35,109,400,1745,400,2000,1
66,0,63,35,55,305,876,400,2000,1
107,0,61,35,61,344,988,400,2000,1
41,0,61,35,49,344,903,400,2000,1
133,0,66,35,70,400,1147,400,2000,1
158,0,92,35,96,400,1373,441,2000,1
10,0,96,35,74,388,1182,400,2000,1
10,0,104,35,90,400,1373,400,2000,1
10,0,96,35,82,400,1293,400,2000,1
10,0,88,35,82,400,1255,400,2000,1
26,0,104,35,102,400,1458,406,2000,1
10,0,8,35,30,20,125,400,2000,1
10,0,8,35,30,20,125,400,2000,1
10,0,8,35,30,20,125,400,2000,1
10,0,8,35,30,20,125,400,2000,1
10,2,8,35,30,20,125,400,2000,1
116,13,500,35,398,305,1694,400,2000,1
102,6,500,35,361,296,1595,400,2000,1
111,7,500,35,361,305,1595,400,2000,1
122,7,480,35,339,288,1548,400,2000,1
127,0,500,35,398,305,1694,400,2000,1
10,0,8,35,87,101,221,400,2000,1
292,0,8,35,142,114,527,535,2000,1
10,0,8,35,146,121,298,466,2000,1
800,1,8,35,760,54,2500,400,2000,1
800,0,8,35,760,59,2500,400,2000,1
10,0,8,35,30,20,125,606,2000,1
10,0,8,35,47,20,125,659,2000,1
165,0,8,35,52,70,281,659,2000,1
800,0,11,35,106,64,903,696,2000,1
800,0,8,35,245,68,2500,932,6273,1
10,0,8,35,30,20,125,632,2000,1
10,0,8,35,32,20,125,400,2000,1
24,0,8,35,35,70,133,400,2000,1
800,0,8,35,318,68,2500,400,2000,1
800,0,8,35,712,82,2500,479,3877,1
10,5,39,35,113,226,402,757,3047,1
151,5,42,35,124,248,559,789,3935,1
197,2,22,35,77,51,379,400,2000,1
800,2,8,35,307,98,2285,400,2000,1
800,2,23,35,411,95,2500,466,3650,1
10,0,37,35,223,400,1502,513,2189,1
10,0,34,35,245,400,1218,400,2000,1
10,0,193,35,425,400,1798,822,4931,1
10,0,19,35,41,121,179,400,2000,1
10,0,69,35,124,189,402,400,2396,1
14,7,8,35,30,20,125,400,2000,1
10,9,8,35,30,20,125,400,2000,1
10,22,12,35,30,20,125,400,2000,1
10,28,13,35,30,20,125,400,2000,1
10,28,11,35,30,20,125,400,2000,1
235,4,500,35,626,305,1967,400,2000,1
10,4,500,35,760,20,2027,400,2000,1
10,3,500,35,760,20,2027,400,2000,1
10,2,500,35,760,400,2285,400,2000,1
10,1,500,35,712,20,1909,400,2000,1
10,1,8,35,30,20,125,400,2000,1
10,1,8,35,30,20,125,400,2000,1
10,1,8,35,30,20,125,400,2000,1
12,1,8,35,30,20,125,400,2000,1
33,34,15,35,30,20,125,400,2000,1
589,0,104,35,230,32,988,417,2432,1
563,0,108,35,237,31,988,406,2222,1
539,0,118,35,215,38,959,400,2360,1
589,0,108,35,209,38,1018,400,2000,1
589,0,118,35,215,39,1018,429,2469,1
10,0,20,35,30,255,257,400,2000,1
10,0,16,35,30,20,125,400,2000,1
26,0,15,35,30,87,154,486,2000,1
44,0,18,35,36,75,179,400,2000,1
10,14,100,35,156,107,368,400,2000,1
10,0,8,35,43,66,174,400,2000,1
10,0,8,35,30,20,125,400,2000,1
10,0,13,35,55,77,316,400,2000,1
10,0,27,35,87,173,630,400,2000,1
10,0,31,35,84,195,732,400,2000,1
42,0,8,35,30,20,125,400,4055,1
10,0,8,35,30,20,125,400,2702,1
10,0,54,35,44,20,159,400,2000,1
180,0,500,35,736,240,1909,400,2000,1
235,1,500,35,760,305,2500,400,2000,1
10,0,18,35,146,271,669,400,3140,1
10,0,15,35,156,296,630,400,2000,1
10,0,14,35,172,279,689,400,2000,1
10,0,15,35,151,305,732,400,3489,1
215,0,34,35,161,279,903,400,6368,1
10,0,8,35,30,20,125,400,2000,1
10,0,8,35,30,20,125,400,2000,1
20,0,30,35,82,84,357,400,2000,1
10,0,51,35,117,173,594,400,2000,1
10,0,51,35,128,207,732,400,2000,1
10,0,8,35,30,20,125,400,2000,1
10,0,8,35,30,20,125,400,2000,1
33,0,33,35,109,101,453,429,2000,1
12,0,45,35,109,178,612,400,2000,1
10,0,47,35,128,201,732,400,2000,1
10,0,8,35,30,20,125,400,2000,1
10,0,8,35,30,20,125,400,2000,1
10,0,8,35,30,20,125,400,2000,1
24,0,39,35,93,124,481,417,2000,1
10,0,44,35,106,140,543,429,2000,1
11,0,8,35,30,20,125,400,2000,1
12,0,8,35,30,20,125,400,2000,1
15,0,12,35,36,54,234,400,2000,1
13,0,19,35,57,84,346,400,2000,1
10,0,20,35,79,128,467,400,2000,1
10,0,18,35,30,20,125,400,2000,1
127,0,27,35,46,87,281,459,2000,1
122,0,25,35,55,40,316,400,2396,1
26,0,27,35,61,51,249,400,2000,1
151,62,72,35,96,55,543,411,2000,1
36,0,92,35,120,334,1081,429,2000,1
36,0,84,35,106,324,1049,429,2325,1
46,0,88,35,120,334,1113,447,2506,1
26,0,84,35,120,344,1147,459,2092,1
36,0,88,35,124,355,1218,453,2325,1
10,0,16,35,30,20,125,400,2290,1
10,0,164,35,99,107,427,400,2000,1
180,2,500,35,468,226,1548,632,2000,1
256,2,500,35,760,248,2089,767,2000,1
245,2,500,35,760,248,1502,574,2000,1
10,0,178,35,54,400,732,400,4307,1
10,0,12,35,30,20,125,400,2000,1
86,4,500,35,262,233,1595,400,2000,1
58,4,500,35,339,248,1853,400,2189,1
53,3,500,35,288,400,1502,400,2000,1
10,0,18,35,106,296,630,400,4117,1
10,0,30,35,196,377,876,400,2506,1
10,0,34,35,196,400,959,400,2784,1
10,0,34,35,189,400,959,400,2469,1
10,0,15,35,237,366,876,400,2124,1
10,0,13,35,133,255,754,400,2000,1
10,0,8,35,30,20,125,400,2000,1
18,0,23,35,49,89,316,400,2000,1
15,0,56,35,215,400,1694,400,2743,1
10,0,61,35,262,400,1909,400,2290,1
10,0,8,35,30,20,125,543,2000,1
235,0,8,35,30,20,257,435,2000,1
453,0,8,35,30,20,481,459,2000,1
800,0,8,35,44,20,930,466,2000,1
800,0,8,35,49,20,903,459,2000,1
10,0,8,35,30,20,125,535,2000,1
453,0,8,35,36,20,511,447,2000,1
766,0,8,35,54,20,825,435,2000,1
800,0,8,35,109,20,1548,453,2000,1
800,0,8,35,133,20,1909,466,2000,1
27,4,88,35,36,22,185,582,3094,1
13,5,104,35,41,20,190,590,3285,1
23,6,118,35,30,25,196,558,4243,1
19,7,123,35,41,29,234,615,4055,1
19,5,139,35,47,28,257,606,3140,1
10,0,8,35,30,20,125,400,2000,1
